id,age,revenu,score1,categorie,frequence,depense,cluster
1,18,128446,37,1,4,2.4,2
2,22,145141,32,2,5,1.1,2
3,31,112690,32,1,6,5.5,2
4,28,80002,22,1,4,5.6,2
5,33,141090,42,1,1,3.0,2
6,61,85757,43,0,9,4.5,1
7,53,151685,40,0,4,1.4,1
8,40,156941,22,0,10,3.0,1
9,20,83010,45,3,6,2.8,2
10,58,140406,37,0,9,5.3,1
11,36,113993,29,1,5,2.8,2
12,45,145915,27,1,8,4.4,1
13,24,109928,33,2,3,4.5,2
14,62,97178,34,1,2,3.1,1
15,29,148730,25,0,10,1.7,2
16,50,154315,41,1,7,5.7,1
17,41,132019,39,2,9,2.3,1
18,27,122810,44,3,5,5.2,2
19,18,80122,21,0,1,2.2,2
20,35,139188,30,1,4,4.8,2
21,39,175672,62,4,14,7.9,3
22,26,142838,48,5,12,6.3,2
23,44,217552,59,6,19,10.7,3
24,31,195038,52,3,20,8.8,3
25,22,121594,41,2,10,5.9,2
26,27,167641,44,4,15,4.1,2
27,33,235064,63,6,17,11.2,3
28,19,149909,40,3,9,9.3,2
29,41,211308,57,5,21,10.1,3
30,24,130055,49,2,8,6.0,2
31,37,184116,61,4,16,8.0,3
32,29,203525,54,6,14,11.6,3
33,46,238544,65,5,22,9.8,3
34,25,158668,43,3,11,5.2,2
35,32,170902,50,4,13,7.1,2
36,40,226337,58,5,18,10.9,3
37,21,126711,46,2,10,4.4,2
38,55,214967,64,6,19,8.4,3
39,30,181244,53,4,15,6.8,2
40,42,239887,60,5,21,12.0,3
41,23,198104,73,6,16,11.3,3
42,35,243019,65,5,18,10.1,3
43,41,181662,68,7,27,13.8,3
44,28,208913,72,8,29,12.0,3
45,37,291888,79,4,21,8.7,3
46,52,170355,62,6,20,15.6,3
47,26,220541,77,5,24,11.8,3
48,45,264882,70,8,30,9.4,3
49,33,244607,64,4,19,14.2,3
50,19,176950,75,7,28,13.1,3
51,48,278146,69,6,25,9.9,3
52,31,233059,71,5,22,10.7,3
53,54,187615,78,8,29,15.2,3
54,24,201355,66,4,17,12.5,3
55,3,298405,73,6,26,8.5,3
56,27,257192,68,5,23,14.7,3
57,43,229844,76,7,27,11.0,3
58,36,194388,61,4,18,13.5,3
59,29,211776,67,5,21,9.0,3
60,50,286413,74,8,30,10.2,3
61,21,276328,90,10,42,20.6,0
62,24,243008,81,7,31,15.8,0
63,30,315642,93,9,39,18.4,0
64,18,198774,77,6,26,14.1,3
65,27,271955,84,8,34,21.3,0
66,35,332481,91,10,44,23.5,0
67,22,225646,80,7,28,13.2,3
68,41,304598,88,8,37,16.9,0
69,19,185703,76,6,25,12.1,3
70,33,289004,92,9,41,19.7,0
71,46,349117,95,10,45,22.8,0
72,28,260433,85,8,33,17.6,0
73,25,238905,79,7,30,12.7,3
74,38,317667,87,9,38,18.9,0
75,31,287540,89,8,40,15.4,0
76,20,206991,78,6,27,14.8,3
77,42,341260,94,10,43,23.1,0
78,23,249876,82,7,32,16.2,0
79,34,278644,86,8,35,20.1,0
80,29,320551,91,9,42,18.0,0
81,39,101445,28,0,3,1.3,1
82,56,128332,34,1,6,2.2,1
83,44,152740,42,1,8,3.9,1
84,61,91462,26,0,2,1.0,1
85,32,174991,48,2,7,4.2,2
86,48,119083,31,1,5,3.4,1
87,53,140227,36,2,6,2.7,1
88,65,108556,24,0,1,0.8,1
89,37,163388,44,1,4,2.9,2
90,50,97540,29,0,3,1.9,1
91,42,147205,41,1,6,3.1,1
92,58,123119,33,0,2,1.4,1
93,30,169876,47,2,8,4.4,2
94,46,111504,27,1,5,2.1,1
95,55,136442,38,1,4,3.7,1
96,40,158903,45,2,7,4.0,2
97,63,92984,22,0,1,0.9,1
98,35,145660,39,1,6,2.6,2
99,52,117238,30,0,2,1.2,1
100,45,171334,46,2,8,4.5,1
101,18,136240,35,2,8,2.0,2
102,27,143919,28,0,9,4.3,2
103,34,111208,44,1,2,5.1,2
104,48,98811,24,0,10,1.6,1
105,56,149502,39,3,7,2.9,1
